id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,City Sunrise,Azure Drift,pop,nostalgic,0.70,112,0.65,0.68,0.30
12,Thunder Soul,Iron Veil,metal,energized,0.94,138,0.33,0.40,0.05
13,Midnight Salsa,Coral Flame,latin,playful,0.88,128,0.80,0.85,0.12
14,Forest Hymn,Willow Root,folk,peaceful,0.45,88,0.72,0.51,0.78
15,Neon Pulse,Variant Flux,electronic,upbeat,0.85,130,0.78,0.90,0.10
16,Sunset Reggae,Island Drift,reggae,warm,0.58,100,0.75,0.82,0.55
17,Moonlit Sonata,Orchestra Noir,classical,dreamy,0.30,68,0.45,0.22,0.95
18,Street Poem,Velvet Truth,hip hop,soulful,0.72,94,0.64,0.76,0.35
